TransactionId,UserId,VisitYear,VisitMonth,VisitModeId,AttractionId,Rating,VisitDate
3,70456,2022,10,2,640,5.0,2022-10-01
8,7567,2022,10,4,640,5.0,2022-10-01
9,79069,2022,10,3,640,5.0,2022-10-01
10,31019,2022,10,3,640,3.0,2022-10-01
15,43611,2022,10,2,640,3.0,2022-10-01
18,43471,2022,10,4,640,5.0,2022-10-01
22,76492,2022,9,2,640,4.0,2022-09-01
23,20977,2022,10,4,640,5.0,2022-10-01
28,18655,2022,9,2,640,3.0,2022-09-01
29,62907,2022,9,2,640,5.0,2022-09-01
31,86054,2022,9,2,640,5.0,2022-09-01
33,41979,2022,9,2,640,5.0,2022-09-01
39,38726,2022,9,4,640,3.0,2022-09-01
43,67147,2022,8,2,640,4.0,2022-08-01
44,2307,2022,9,2,640,4.0,2022-09-01
45,3660,2022,9,2,640,5.0,2022-09-01
46,50130,2022,9,4,640,3.0,2022-09-01
54,30450,2022,8,2,640,4.0,2022-08-01
56,82637,2022,7,3,640,4.0,2022-07-01
61,33716,2022,7,5,640,5.0,2022-07-01
64,46517,2022,8,3,640,1.0,2022-08-01
66,50127,2022,8,2,640,5.0,2022-08-01
67,61876,2022,8,2,640,5.0,2022-08-01
68,16769,2022,6,2,640,5.0,2022-06-01
69,9804,2022,7,2,640,4.0,2022-07-01
72,44419,2022,7,2,640,5.0,2022-07-01
73,84531,2022,7,2,640,5.0,2022-07-01
75,83915,2022,7,2,640,5.0,2022-07-01
76,62742,2022,7,2,640,4.0,2022-07-01
77,47615,2022,7,2,640,5.0,2022-07-01
78,85459,2022,7,3,640,5.0,2022-07-01
80,71946,2022,7,4,640,3.0,2022-07-01
82,54719,2022,7,4,640,5.0,2022-07-01
87,16291,2022,7,3,640,4.0,2022-07-01
93,18137,2022,6,2,640,1.0,2022-06-01
95,37338,2022,6,3,640,5.0,2022-06-01
97,18628,2022,6,3,640,4.0,2022-06-01
103,47542,2022,6,5,640,3.0,2022-06-01
105,71155,2022,6,4,640,5.0,2022-06-01
106,73515,2022,6,2,640,5.0,2022-06-01
111,1953,2022,5,4,640,4.0,2022-05-01
112,31372,2022,5,2,640,4.0,2022-05-01
114,35045,2022,5,2,640,5.0,2022-05-01
116,79488,2022,4,3,640,2.0,2022-04-01
117,14186,2022,4,3,640,4.0,2022-04-01
123,78554,2021,10,2,640,5.0,2021-10-01
124,30511,2021,11,4,640,5.0,2021-11-01
127,50138,2021,7,4,640,5.0,2021-07-01
132,83974,2020,10,5,640,5.0,2020-10-01
133,40006,2021,5,5,640,5.0,2021-05-01
136,50311,2021,1,2,640,4.0,2021-01-01
138,56894,2021,1,2,640,5.0,2021-01-01
141,36421,2020,12,4,640,5.0,2020-12-01
143,62902,2020,1,3,640,5.0,2020-01-01
144,61175,2020,12,2,640,5.0,2020-12-01
145,61849,2019,11,2,640,4.0,2019-11-01
150,51784,2019,10,2,640,5.0,2019-10-01
158,61709,2019,12,2,640,5.0,2019-12-01
168,64920,2020,3,2,640,4.0,2020-03-01
170,27538,2020,4,4,640,5.0,2020-04-01
171,27449,2019,7,3,640,4.0,2019-07-01
172,64392,2020,3,2,640,5.0,2020-03-01
174,79911,2019,11,2,640,5.0,2019-11-01
176,55535,2020,3,2,640,5.0,2020-03-01
181,51283,2020,3,2,640,4.0,2020-03-01
183,73796,2020,3,4,640,4.0,2020-03-01
185,21207,2020,3,4,640,3.0,2020-03-01
187,23868,2020,3,4,640,5.0,2020-03-01
190,13954,2019,8,3,640,3.0,2019-08-01
192,55381,2019,6,4,640,2.0,2019-06-01
194,71073,2020,3,2,640,5.0,2020-03-01
195,113,2020,3,2,640,4.0,2020-03-01
205,16816,2020,3,2,640,5.0,2020-03-01
206,41624,2020,3,2,640,5.0,2020-03-01
207,33038,2020,3,3,640,5.0,2020-03-01
208,46031,2020,2,5,640,4.0,2020-02-01
211,81844,2020,3,2,640,5.0,2020-03-01
212,64368,2020,2,3,640,5.0,2020-02-01
213,51849,2020,3,4,640,5.0,2020-03-01
223,53252,2019,4,4,640,5.0,2019-04-01
224,29563,2020,3,3,640,5.0,2020-03-01
225,66839,2020,2,3,640,4.0,2020-02-01
226,42947,2020,1,2,640,5.0,2020-01-01
231,77269,2020,3,2,640,4.0,2020-03-01
232,4371,2020,3,2,640,5.0,2020-03-01
233,25561,2019,6,2,640,5.0,2019-06-01
236,16514,2020,3,2,640,3.0,2020-03-01
237,52730,2020,3,2,640,5.0,2020-03-01
238,21256,2020,3,2,640,5.0,2020-03-01
239,45191,2020,3,2,640,5.0,2020-03-01
240,81154,2020,3,2,640,4.0,2020-03-01
241,57365,2020,3,2,640,4.0,2020-03-01
242,85847,2020,3,3,640,4.0,2020-03-01
244,59810,2020,3,4,640,4.0,2020-03-01
246,16482,2020,1,4,640,5.0,2020-01-01
249,45653,2020,2,2,640,5.0,2020-02-01
250,70967,2020,3,5,640,5.0,2020-03-01
252,63138,2020,2,4,640,4.0,2020-02-01
254,17811,2020,2,5,640,5.0,2020-02-01
258,10370,2020,2,5,640,4.0,2020-02-01
259,28567,2020,2,2,640,5.0,2020-02-01
262,43435,2020,2,5,640,4.0,2020-02-01
264,25621,2020,2,4,640,5.0,2020-02-01
266,24948,2020,2,2,640,5.0,2020-02-01
268,14459,2020,2,4,640,5.0,2020-02-01
273,57716,2020,2,4,640,3.0,2020-02-01
278,77961,2020,2,2,640,5.0,2020-02-01
279,32533,2020,2,3,640,5.0,2020-02-01
282,8481,2020,2,2,640,5.0,2020-02-01
284,53690,2019,4,3,640,5.0,2019-04-01
286,51055,2020,2,2,640,4.0,2020-02-01
288,62791,2020,2,2,640,3.0,2020-02-01
290,23746,2020,2,2,640,5.0,2020-02-01
293,46065,2020,2,2,640,4.0,2020-02-01
297,58995,2020,1,3,640,5.0,2020-01-01
298,75223,2020,2,2,640,5.0,2020-02-01
300,11099,2020,2,2,640,5.0,2020-02-01
308,39393,2020,2,2,640,5.0,2020-02-01
309,4453,2020,2,2,640,5.0,2020-02-01
310,53132,2020,2,2,640,3.0,2020-02-01
312,34227,2020,2,2,640,5.0,2020-02-01
313,18600,2020,2,4,640,4.0,2020-02-01
314,78886,2020,1,3,640,5.0,2020-01-01
315,18325,2020,2,4,640,1.0,2020-02-01
316,30475,2020,2,5,640,5.0,2020-02-01
320,51292,2020,2,2,640,4.0,2020-02-01
321,74902,2020,2,2,640,2.0,2020-02-01
325,30233,2020,2,4,640,5.0,2020-02-01
328,42707,2020,2,2,640,4.0,2020-02-01
330,25682,2020,2,2,640,5.0,2020-02-01
331,38154,2019,5,4,640,5.0,2019-05-01
333,44234,2020,2,5,640,5.0,2020-02-01
334,22217,2020,2,4,640,5.0,2020-02-01
338,12892,2020,2,2,640,5.0,2020-02-01
339,47829,2020,1,2,640,5.0,2020-01-01
344,21300,2020,2,4,640,2.0,2020-02-01
345,17884,2019,10,4,640,5.0,2019-10-01
346,53500,2020,2,5,640,4.0,2020-02-01
347,76106,2020,2,3,640,5.0,2020-02-01
348,47053,2020,2,4,640,5.0,2020-02-01
349,85394,2019,3,3,640,4.0,2019-03-01
351,87911,2020,1,2,640,5.0,2020-01-01
353,75196,2020,1,3,640,3.0,2020-01-01
354,85613,2020,1,3,640,5.0,2020-01-01
361,9756,2020,1,5,640,3.0,2020-01-01
365,85188,2020,1,4,640,4.0,2020-01-01
368,21447,2020,1,4,640,4.0,2020-01-01
370,70281,2020,1,2,640,5.0,2020-01-01
371,68787,2020,1,2,640,5.0,2020-01-01
373,4179,2020,1,3,640,4.0,2020-01-01
374,58932,2020,1,2,640,5.0,2020-01-01
376,5021,2020,1,4,640,4.0,2020-01-01
379,82983,2020,1,5,640,4.0,2020-01-01
386,19681,2020,1,3,640,3.0,2020-01-01
387,23890,2020,1,3,640,3.0,2020-01-01
389,75107,2020,1,2,640,5.0,2020-01-01
391,20362,2020,1,2,640,5.0,2020-01-01
392,48488,2020,1,5,640,5.0,2020-01-01
393,39504,2020,1,2,640,5.0,2020-01-01
397,34060,2020,1,3,640,5.0,2020-01-01
398,6355,2020,1,4,640,5.0,2020-01-01
403,52542,2020,1,3,640,5.0,2020-01-01
404,58772,2020,1,2,640,5.0,2020-01-01
405,58750,2020,1,4,640,5.0,2020-01-01
409,46971,2020,1,2,640,5.0,2020-01-01
410,17018,2020,1,3,640,5.0,2020-01-01
411,73591,2020,1,2,640,4.0,2020-01-01
414,44572,2019,12,3,640,3.0,2019-12-01
415,73334,2020,1,5,640,5.0,2020-01-01
416,55962,2020,1,2,640,1.0,2020-01-01
417,21235,2020,1,4,640,5.0,2020-01-01
421,78327,2020,1,2,640,4.0,2020-01-01
422,85955,2020,1,4,640,5.0,2020-01-01
423,48535,2020,1,3,640,4.0,2020-01-01
424,79458,2020,1,2,640,5.0,2020-01-01
428,58461,2020,1,2,640,4.0,2020-01-01
429,85351,2020,1,3,640,5.0,2020-01-01
430,87932,2020,1,2,640,5.0,2020-01-01
431,47662,2020,1,2,640,5.0,2020-01-01
433,6464,2019,12,3,640,4.0,2019-12-01
436,54547,2019,12,2,640,4.0,2019-12-01
439,48254,2020,1,3,640,5.0,2020-01-01
442,31313,2019,12,4,640,5.0,2019-12-01
443,64200,2020,1,3,640,5.0,2020-01-01
444,47878,2020,1,3,640,5.0,2020-01-01
445,76383,2020,1,2,640,3.0,2020-01-01
447,69047,2020,1,2,640,4.0,2020-01-01
448,4704,2020,1,2,640,3.0,2020-01-01
449,60786,2019,11,2,640,4.0,2019-11-01
450,11567,2019,12,3,640,5.0,2019-12-01
452,9721,2020,1,4,640,5.0,2020-01-01
453,81917,2020,1,2,640,5.0,2020-01-01
455,74047,2020,1,3,640,5.0,2020-01-01
456,35064,2019,12,2,640,3.0,2019-12-01
457,16210,2019,12,2,640,4.0,2019-12-01
458,34475,2020,1,3,640,5.0,2020-01-01
461,35014,2019,8,3,640,5.0,2019-08-01
465,32271,2019,12,4,640,5.0,2019-12-01
466,51045,2020,1,3,640,5.0,2020-01-01
467,61162,2020,1,5,640,2.0,2020-01-01
468,82738,2019,10,4,640,5.0,2019-10-01
469,48073,2020,1,2,640,3.0,2020-01-01
472,31427,2020,1,3,640,4.0,2020-01-01
473,30811,2020,1,4,640,5.0,2020-01-01
474,66675,2020,1,4,640,5.0,2020-01-01
475,44748,2019,12,2,640,5.0,2019-12-01
478,18295,2020,1,4,640,4.0,2020-01-01
479,37703,2020,1,4,640,4.0,2020-01-01
480,3850,2020,1,5,640,5.0,2020-01-01
484,61329,2019,12,2,640,5.0,2019-12-01
486,18016,2020,1,2,640,5.0,2020-01-01
487,742,2020,1,2,640,5.0,2020-01-01
488,71542,2019,12,2,640,5.0,2019-12-01
489,57489,2020,1,3,640,5.0,2020-01-01
490,22601,2019,12,2,640,4.0,2019-12-01
491,87646,2019,4,5,640,5.0,2019-04-01
492,57409,2019,12,3,640,5.0,2019-12-01
495,75883,2020,1,4,640,5.0,2020-01-01
497,35029,2019,12,4,640,5.0,2019-12-01
498,60491,2020,1,5,640,5.0,2020-01-01
503,22981,2019,12,4,640,5.0,2019-12-01
504,34788,2019,12,3,640,5.0,2019-12-01
508,8357,2019,12,3,640,4.0,2019-12-01
511,25551,2020,1,3,640,3.0,2020-01-01
514,46084,2019,12,2,640,5.0,2019-12-01
515,81818,2019,12,3,640,5.0,2019-12-01
516,10917,2019,12,2,640,5.0,2019-12-01
518,9849,2019,12,5,640,5.0,2019-12-01
521,30762,2019,12,3,640,5.0,2019-12-01
524,33532,2019,12,4,640,5.0,2019-12-01
525,20406,2019,12,3,640,5.0,2019-12-01
526,67711,2019,12,5,640,5.0,2019-12-01
530,54951,2019,12,3,640,5.0,2019-12-01
532,1258,2019,12,3,640,4.0,2019-12-01
534,80378,2019,12,2,640,5.0,2019-12-01
535,16901,2019,12,2,640,5.0,2019-12-01
536,27887,2019,12,2,640,3.0,2019-12-01
537,26893,2019,12,3,640,3.0,2019-12-01
538,6137,2019,12,2,640,5.0,2019-12-01
541,52293,2019,12,4,640,3.0,2019-12-01
542,68257,2019,12,3,640,4.0,2019-12-01
543,43688,2019,12,3,640,5.0,2019-12-01
544,37159,2019,12,3,640,3.0,2019-12-01
546,13815,2019,12,2,640,4.0,2019-12-01
549,15747,2019,12,2,640,4.0,2019-12-01
550,83027,2019,12,3,640,4.0,2019-12-01
551,61967,2019,12,3,640,5.0,2019-12-01
552,43397,2019,12,2,640,4.0,2019-12-01
553,62162,2019,12,2,640,3.0,2019-12-01
554,46106,2019,12,2,640,4.0,2019-12-01
555,67109,2019,12,2,640,4.0,2019-12-01
556,52528,2019,12,2,640,5.0,2019-12-01
557,22907,2019,12,4,640,5.0,2019-12-01
558,37425,2019,12,5,640,5.0,2019-12-01
559,41203,2019,12,2,640,5.0,2019-12-01
562,20065,2019,12,2,640,5.0,2019-12-01
563,73245,2019,12,3,640,5.0,2019-12-01
565,73646,2019,12,5,640,4.0,2019-12-01
568,84875,2019,12,3,640,4.0,2019-12-01
570,23629,2019,12,3,640,4.0,2019-12-01
573,30759,2019,12,3,640,3.0,2019-12-01
575,1684,2019,12,4,640,4.0,2019-12-01
576,68604,2019,12,2,640,5.0,2019-12-01
579,58348,2019,12,2,640,5.0,2019-12-01
580,54465,2019,12,4,640,5.0,2019-12-01
581,75591,2019,12,2,640,4.0,2019-12-01
583,61160,2019,11,3,640,4.0,2019-11-01
587,19406,2019,12,2,640,4.0,2019-12-01
588,69671,2019,12,2,640,4.0,2019-12-01
591,88159,2019,12,2,640,4.0,2019-12-01
592,46158,2019,12,3,640,5.0,2019-12-01
594,65716,2019,12,3,640,5.0,2019-12-01
598,26929,2019,12,2,640,5.0,2019-12-01
602,19138,2019,11,2,640,5.0,2019-11-01
604,54930,2019,12,2,640,5.0,2019-12-01
605,22292,2019,12,5,640,5.0,2019-12-01
608,61847,2019,12,2,640,4.0,2019-12-01
611,39638,2019,12,2,640,5.0,2019-12-01
612,75270,2019,12,2,640,5.0,2019-12-01
614,81565,2019,12,2,640,5.0,2019-12-01
615,1286,2019,11,4,640,4.0,2019-11-01
617,21885,2019,12,3,640,3.0,2019-12-01
618,59594,2019,12,2,640,4.0,2019-12-01
623,54832,2019,12,2,640,5.0,2019-12-01
625,62637,2019,12,5,640,4.0,2019-12-01
626,66466,2019,12,3,640,4.0,2019-12-01
627,12514,2019,12,3,640,5.0,2019-12-01
628,26721,2019,12,2,640,3.0,2019-12-01
629,57888,2019,12,2,640,5.0,2019-12-01
631,59214,2019,12,5,640,5.0,2019-12-01
634,16818,2019,12,3,640,5.0,2019-12-01
