UserId,ContinentId,RegionId,CountryId,CityId
14,5,20,155,220.0
16,3,14,101,3098.0
20,4,15,109,4303.0
23,1,4,22,154.0
25,3,14,101,3098.0
26,5,21,163,4485.0
27,5,17,130,6107.0
28,2,9,54,2193.0
29,3,14,101,3013.0
32,3,14,101,3013.0
33,5,21,162,7639.0
34,1,4,22,167.0
37,5,21,158,721.0
39,4,15,109,4940.0
42,3,14,106,3551.0
48,4,15,109,4940.0
51,4,15,109,4940.0
52,4,15,109,535.0
54,5,21,163,8687.0
56,2,8,48,302.0
57,5,21,163,9111.0
59,5,20,150,692.0
60,1,3,14,52.0
61,4,15,109,535.0
65,2,8,51,800.0
67,2,9,54,2208.0
70,5,21,163,8652.0
72,4,15,109,4070.0
79,3,14,103,3354.0
83,2,8,48,573.0
85,4,16,115,5666.0
90,3,12,85,2558.0
92,5,21,163,426.0
94,4,15,109,3755.0
97,2,8,51,859.0
98,3,14,106,3551.0
102,4,15,109,3915.0
103,1,4,22,106.0
112,3,13,93,2819.0
113,5,17,125,6000.0
116,3,14,101,3098.0
117,5,19,142,6512.0
118,4,15,109,3915.0
119,3,11,69,2282.0
122,4,15,109,1434.0
125,4,15,109,4303.0
129,2,8,51,950.0
131,4,15,109,3881.0
133,4,15,109,4940.0
137,3,14,101,3098.0
139,3,14,101,3208.0
142,4,15,109,4616.0
147,5,19,145,1963.0
149,4,15,109,4616.0
152,4,15,109,3945.0
153,4,15,109,1434.0
154,4,15,109,4940.0
155,3,11,74,2468.0
156,2,8,48,465.0
157,3,14,101,3098.0
158,4,15,109,1434.0
160,2,8,51,1935.0
162,4,15,109,3750.0
166,4,15,109,3945.0
170,2,8,48,515.0
176,4,15,109,535.0
177,4,16,115,5639.0
180,5,21,163,9009.0
182,2,8,51,1195.0
183,5,21,160,7618.0
184,4,15,109,4994.0
185,5,21,163,426.0
187,2,8,51,1847.0
189,4,15,109,1434.0
190,2,8,50,611.0
191,5,21,163,9036.0
192,5,21,163,8652.0
194,2,8,51,1923.0
196,4,15,109,3973.0
199,5,21,163,426.0
200,3,14,108,3667.0
208,2,8,51,1592.0
213,4,16,115,5487.0
218,5,21,163,8450.0
228,3,13,93,2725.0
230,4,15,109,5267.0
231,5,21,163,8258.0
234,1,4,22,107.0
239,5,21,163,8686.0
240,4,15,109,3987.0
242,4,15,109,4303.0
247,2,8,48,371.0
249,5,17,123,5781.0
255,4,15,109,3687.0
256,4,15,109,3687.0
266,4,15,109,3687.0
267,4,15,109,4940.0
268,4,15,109,4964.0
269,3,14,101,3061.0
271,5,20,157,7052.0
272,5,20,157,7169.0
274,2,8,48,491.0
276,5,21,159,7470.0
277,5,21,163,781.0
279,4,15,109,1434.0
286,5,21,158,7199.0
288,4,15,109,535.0
296,4,15,109,1434.0
302,3,14,106,3551.0
303,3,14,106,3551.0
315,5,21,163,8916.0
316,2,8,51,1552.0
317,5,21,163,426.0
319,4,16,115,5506.0
320,4,15,109,3945.0
327,5,17,135,583.0
328,2,8,51,1752.0
336,4,15,109,1434.0
337,3,14,101,3230.0
339,1,4,22,106.0
340,4,15,109,535.0
341,3,14,101,3013.0
346,5,21,163,8317.0
348,4,15,109,4940.0
349,5,17,130,6098.0
351,4,15,109,3687.0
356,5,21,163,1633.0
359,4,15,109,5046.0
361,2,8,51,2081.0
365,5,21,162,3728.0
369,4,15,109,3687.0
378,4,15,109,535.0
382,3,13,93,2905.0
386,4,15,109,1434.0
388,1,4,22,110.0
390,3,12,88,2606.0
393,5,17,122,5729.0
396,2,8,51,682.0
397,4,15,109,3915.0
399,5,17,130,6117.0
404,5,17,125,5954.0
408,5,17,127,6062.0
410,3,14,101,3013.0
418,3,14,101,3098.0
419,5,21,163,4736.0
421,5,21,163,1396.0
422,2,8,51,1358.0
425,3,14,106,3551.0
426,4,15,109,3702.0
430,3,13,93,2708.0
432,5,21,159,7494.0
433,4,15,109,4262.0
435,5,21,163,8317.0
442,3,14,106,3551.0
444,5,21,163,8757.0
445,5,21,163,8221.0
446,4,15,109,5100.0
447,4,15,109,4940.0
455,5,21,163,426.0
456,4,15,109,4819.0
459,4,16,115,5506.0
462,4,15,109,1434.0
464,3,12,86,2563.0
470,3,12,88,2590.0
476,3,12,89,2623.0
478,5,19,144,6621.0
480,2,8,51,2097.0
484,5,21,163,8367.0
485,4,15,109,4442.0
488,5,20,150,6759.0
490,3,14,101,3098.0
494,4,15,109,5042.0
501,4,15,109,4940.0
503,4,16,115,5506.0
511,2,8,51,929.0
512,4,15,109,3915.0
515,3,14,103,3367.0
516,4,15,109,3687.0
517,3,14,101,3098.0
518,3,13,91,2649.0
521,4,15,109,3687.0
525,4,15,109,535.0
527,4,16,115,390.0
528,4,15,109,3687.0
542,5,17,125,5911.0
545,4,16,115,5487.0
550,5,19,144,6609.0
554,5,19,142,6520.0
565,3,13,93,2770.0
568,1,4,22,136.0
571,4,15,109,535.0
572,2,8,51,882.0
574,3,14,106,3551.0
577,3,14,107,3577.0
580,5,21,163,8571.0
581,4,15,109,5030.0
583,5,21,163,743.0
584,3,11,69,2277.0
585,5,17,125,5838.0
590,4,15,109,1434.0
594,4,15,109,3915.0
595,5,19,144,6609.0
597,4,15,109,4303.0
603,4,16,115,5506.0
